Sold Date,Name,Main Price,Shipping Cost
2024-05-05,2018 NFL Panini Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Bills,89.95,0
2024-05-05,2018 Donruss Football JOSH ALLEN Rated Rookie Card #304 NM RC Buffalo Bills,53.00,6.00
2024-05-05,2018 Panini Donruss Josh Allen The Rookies #R-4  Insert ,35.00,5.35
2024-05-05,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,5.00
2024-05-05,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) Please read!!!,25.00,0
2024-05-04,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) MINT CONDITION ******,49.00,2.85
2024-05-04,2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),100.00,5.40
2024-05-03,2018 Donruss # 304 Josh Allen Rc Rookie Buffalo Bills NM-MT or better Combo-Ship,64.99,5.36
2024-05-03,2018 Donruss Josh Allen Rated Rookie RC #304 Bills ,74.99,0
2024-05-02,Josh Allen 2018 Panini Donruss #304 Rated Rookie PSA 9 MINT Buffalo Bills,66.55,4.99
2024-05-02,2018 Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Buffalo Bills,95.35,10.27
2024-05-02,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),56.00,0
2024-05-02,2018 Donruss #304 Josh Allen RC,58.00,5.35
2024-05-01,Josh Allen Signed 2018 Donruss Rated Rookie RC Auto,198.09,5.35
2024-04-30,2018 Panini Donruss - The Rookies #R-4 Josh Allen  (RC),13.50,6.75
2024-04-29,JOSH ALLEN 2018 Donruss #1 Draft Pick RATED Rookie Card RC Buffalo Bills $ HOT $,75.00,3.96
2024-04-28,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,5.00
2024-04-28,"2018 Panini Donruss - Rated Rookie #304 Josh Allen, Josh Allen (RC)",47.00,3.84
2024-04-28,2018 Donruss Josh Allen Rated Rookie RC RR,55.00,6.15
2024-04-28,2018 Donruss Football JOSH ALLEN Rated Rookie Card #304 NM RC Buffalo Bills,71.00,6.00
2024-04-28,2018 Donruss Football JOSH ALLEN Press Proof Blue Rated Rookie Card #304 MINT!!,51.00,6.00
2024-04-28,2018 Panini Donruss JOSH ALLEN Gridiron Kings Rookie Insert #RGK-4 MINT!! Bills,7.50,6.00
2024-04-27,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) ROOKIE,41.00,5.25
2024-04-27,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),66.00,1.12
2024-04-27,2018 Panini Donruss - Rated Rookie  #304 Josh Allen (RC)!Read Description ,40.00,4.02
2024-04-25,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),54.99,4.02
2024-04-25,2018 DONRUSS #304 JOSH ALLEN RC Rated Rookie PSA 9 TZ,50.00,5.85
2024-04-25,2018 DONRUSS THE ROOKIES #R-4 JOSH ALLEN RC NMMT *328230,27.00,3.00
2024-04-25,2018 DONRUSS ROOKIE THREADS #4 JOSH ALLEN RC JERSEY NMMT *328228,31.00,3.00
2024-04-25,2018 DONRUSS #304 JOSH ALLEN RC MINT *327836,51.00,3.00
2024-04-25,2018 Panini Donruss JOSH ALLEN Rookie Phenom RC PLAYER WORN Jersey Patch Relic,60.00,4.99
2024-04-25,2018 Donruss Rated Rookie Josh Allen #304,50.00,5.35
2024-04-24,2018 Panini Donruss - Josh Allen RC Blue Press Proof Rookie (poor condition)!!,10.50,5.99
2024-04-23,2018 Donruss Josh Allen Rated Rookie RC RR,59.00,0
2024-04-23,2018 Donruss Josh Allen Rated Rookie RC Card 304,50.00,0
2024-04-22,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),54.33,4.36
2024-04-21,2018 Panini Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Bills,135.00,0
2024-04-21,2018 Panini Donruss Josh Allen Rated Rookie RC #304 Buffalo Bills,58.00,4.75
2024-04-21,2018 Donruss Josh Allen #304 Rated Rookie RC,61.00,5.55
2024-04-21,2018 Panini Donruss - Rated Rookie Josh Allen #304 (RC),77.00,4.36
2024-04-21,2018 Panini Donruss Josh Allen Rated Rookie #304 Green Press Proof,128.69,4.36
2024-04-21,Josh Allen 2018 Panini Donruss - Rated Rookie #304 (RC) Card Buffalo Bills,69.95,5.95
2024-04-21,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),64.99,0
2024-04-21,Josh Allen Rated Rookie 2018 Donruss,35.00,4.02
https://www.ebay.com/sch/i.html?_nkw=2018+Donruss+-optic+-elite+Josh+Allen&Graded=No&_sacat=0&type=s&_dcat=261328&LH_Complete=1&LH_Sold=1&_ipg=240
Year,Product,Player Name
2018,Donruss+-optic+-elite,JoshAllen
